time,open,high,low,close,volume
2023-11-28,13.24,13.36,13.12,13.24,4189072
2023-11-29,13.3,13.51,13.3,13.33,4831388
2023-11-30,13.33,13.48,13.27,13.27,5245608
2023-12-01,13.39,13.39,13.15,13.27,5736667
2023-12-04,13.33,13.58,13.3,13.48,9044705
2023-12-05,13.48,13.58,13.33,13.39,3560224
2023-12-06,13.39,13.48,13.3,13.48,2794830
2023-12-07,13.48,13.61,13.42,13.55,7241320
2023-12-08,13.55,13.64,13.48,13.55,3815334
2023-12-11,13.58,13.61,13.45,13.55,2277359
2023-12-12,13.58,13.61,13.48,13.61,3230408
2023-12-13,13.61,13.64,13.48,13.48,3933379
2023-12-14,13.55,13.76,13.48,13.61,6949441
2023-12-15,13.67,13.82,13.64,13.76,6195129
2023-12-18,13.73,13.79,13.7,13.79,6390775
2023-12-19,13.79,13.97,13.79,13.94,11476459
2023-12-20,13.94,14.06,13.94,14.03,8865596
2023-12-21,14.03,14.06,13.94,14.06,7087055
2023-12-22,14.03,14.09,14.03,14.03,4512456
2023-12-25,14.06,14.18,14.03,14.12,7586810
2023-12-26,14.15,14.15,14.06,14.06,5731233
2023-12-27,14.03,14.15,14.03,14.09,4869398
2023-12-28,14.09,14.48,14.09,14.36,10526964
2023-12-29,14.45,14.57,14.39,14.45,9202991
2024-01-02,14.48,14.97,14.48,14.78,13896933
2024-01-03,14.81,15.12,14.66,15.12,9817807
2024-01-04,15.24,15.51,15.18,15.3,23605373
2024-01-05,15.3,15.39,15.15,15.39,9282598
2024-01-08,15.54,15.57,15.24,15.33,12398885
2024-01-09,15.27,15.33,15.09,15.12,15455964
2024-01-10,15.24,15.42,15.12,15.27,17610661
2024-01-11,15.36,15.57,15.21,15.27,9941849
2024-01-12,15.21,15.84,15.15,15.6,25574880
2024-01-15,15.72,15.72,15.3,15.3,11725544
2024-01-16,15.36,15.45,15.15,15.36,12385822
2024-01-17,15.39,15.6,15.33,15.36,9720759
