time,open,high,low,close,volume
2023-11-28,17.85,18.06,17.62,18.06,18870086
2023-11-29,18.06,18.33,18.02,18.26,22512100
2023-11-30,18.33,18.4,17.96,17.96,21215143
2023-12-01,18.12,18.33,17.89,18.19,15407548
2023-12-04,18.4,18.77,18.29,18.6,42364507
2023-12-05,18.6,18.63,18.36,18.43,22519458
2023-12-06,18.43,18.67,18.4,18.67,18657441
2023-12-07,18.7,18.87,18.23,18.67,49444696
2023-12-08,18.8,19.11,18.6,18.73,52799031
2023-12-11,18.73,18.8,18.46,18.6,17852876
2023-12-12,18.6,19.07,18.6,18.9,31693150
2023-12-13,19.0,19.07,18.46,18.5,33356819
2023-12-14,18.63,18.63,18.29,18.29,31784558
2023-12-15,18.33,18.4,18.09,18.12,34693422
2023-12-18,18.19,18.26,17.99,17.99,14883440
2023-12-19,17.99,18.4,17.96,18.4,20502049
2023-12-20,18.4,18.5,18.33,18.4,17666787
2023-12-21,18.33,18.46,18.23,18.4,14312119
2023-12-22,18.4,18.5,18.29,18.29,17434981
2023-12-25,18.36,18.67,18.36,18.56,20414974
2023-12-26,18.53,18.87,18.53,18.8,33753533
2023-12-27,18.83,18.94,18.77,18.77,19860170
2023-12-28,18.77,19.07,18.7,18.9,31321948
2023-12-29,18.9,19.0,18.8,18.9,20475453
2024-01-02,19.0,19.04,18.56,18.56,22196509
2024-01-03,18.53,18.8,18.53,18.8,18581664
2024-01-04,18.8,19.0,18.73,18.77,38548706
2024-01-05,18.77,18.87,18.63,18.8,17340693
2024-01-08,18.9,19.11,18.83,18.83,31258576
2024-01-09,18.87,18.9,18.6,18.73,28631164
2024-01-10,18.73,18.77,18.43,18.5,32654545
2024-01-11,18.56,18.7,18.53,18.6,15271976
2024-01-12,18.5,18.56,18.29,18.36,28640291
2024-01-15,18.4,18.56,18.33,18.33,12506342
2024-01-16,18.33,18.8,18.29,18.8,19773999
2024-01-17,18.83,18.9,18.7,18.7,23419285
2024-01-18,18.73,18.83,18.67,18.7,12645044
2024-01-19,18.77,18.87,18.67,18.8,14866159
2024-01-22,18.94,19.38,18.83,19.14,66094584
2024-01-23,19.24,19.27,19.11,19.17,21686564
2024-01-24,19.14,19.27,19.11,19.11,16144379
2024-01-25,19.11,19.21,18.94,19.11,15234746
2024-01-26,19.21,19.27,19.11,19.17,14380956
2024-01-29,19.17,19.21,18.94,18.94,21583456
2024-01-30,18.94,19.0,18.83,18.94,17536929
2024-01-31,18.9,19.0,18.77,18.77,24464533
2024-02-01,18.77,19.0,18.73,18.83,10642909
