time,open,high,low,close,volume
2023-11-28,11.24,11.43,11.14,11.4,6653864
2023-11-29,11.37,11.43,11.3,11.4,5451106
2023-11-30,11.4,11.46,11.34,11.37,5670603
2023-12-01,11.4,11.4,11.3,11.37,4414030
2023-12-04,11.37,11.56,11.37,11.53,17343169
2023-12-05,11.53,11.56,11.46,11.53,6123563
2023-12-06,11.53,11.59,11.5,11.56,7020619
2023-12-07,11.59,11.72,11.53,11.65,13924335
2023-12-08,11.65,11.72,11.59,11.62,7475062
2023-12-11,11.62,11.65,11.53,11.59,4881115
2023-12-12,11.59,11.65,11.56,11.65,4882018
2023-12-13,11.65,11.72,11.53,11.53,7181020
2023-12-14,11.59,11.62,11.5,11.53,5305711
2023-12-15,11.53,11.62,11.5,11.53,5545275
2023-12-18,11.53,11.59,11.46,11.5,5279756
2023-12-19,11.5,11.62,11.46,11.59,5900950
2023-12-20,11.59,11.62,11.53,11.59,3090866
2023-12-21,11.56,11.59,11.5,11.59,3984203
2023-12-22,11.59,11.78,11.56,11.69,8556099
2023-12-25,11.72,11.85,11.69,11.75,6596548
2023-12-26,11.75,11.81,11.69,11.78,4266363
2023-12-27,11.81,11.81,11.72,11.75,5791162
2023-12-28,11.75,11.88,11.72,11.85,9891014
2023-12-29,11.88,12.04,11.85,11.91,13824310
2024-01-02,11.94,12.13,11.91,12.04,13795931
2024-01-03,11.97,12.26,11.94,12.23,13867158
2024-01-04,12.23,13.06,12.23,12.84,49460264
2024-01-05,12.84,13.09,12.84,13.09,22545252
2024-01-08,13.16,13.32,13.03,13.22,20170178
2024-01-09,13.25,13.35,13.09,13.32,19819773
2024-01-10,13.32,13.51,13.19,13.35,24708606
2024-01-11,13.35,13.47,13.09,13.19,24699072
2024-01-12,13.09,13.76,13.03,13.63,45939222
2024-01-15,13.73,13.99,13.67,13.7,25101956
2024-01-16,13.7,13.73,13.51,13.73,17507709
2024-01-17,13.79,13.92,13.6,13.73,20498402
2024-01-18,13.67,13.89,13.6,13.86,23636665
2024-01-19,13.92,14.15,13.86,14.08,21632516
2024-01-22,14.24,14.4,14.05,14.11,29147259
2024-01-23,14.11,14.27,13.99,14.02,15918094
2024-01-24,13.95,14.15,13.92,13.99,12702423
2024-01-25,14.02,14.02,13.86,13.99,14706039
2024-01-26,13.99,14.15,13.99,14.05,9501696
2024-01-29,14.05,14.34,14.05,14.15,15682580
2024-01-30,14.15,14.21,13.95,14.11,14361653
2024-01-31,14.21,14.21,13.83,13.89,27855285
2024-02-01,13.86,14.02,13.79,13.99,11404897
2024-02-02,13.99,14.05,13.89,13.89,15091747
2024-02-05,13.89,14.78,13.89,14.66,37132846
2024-02-06,14.69,14.78,14.66,14.72,11536580
2024-02-07,14.75,15.14,14.75,15.01,21209435
2024-02-15,15.14,15.45,15.04,15.42,24119717
2024-02-16,15.39,15.39,15.14,15.33,16183641
